season,player,cricsheet_identifier,cricinfo_id,unique_name,full_name,country,born,age,batting_style,bowling_style,playing_role
2009/10,R Dravid,0184dc35,28114,R Dravid,Rahul Sharad Dravid,India,"January 11, 1973, Indore, Madhya Pradesh",49y 6m 14d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Top order Batter
2009/10,R McLaren,c654af19,46393,R McLaren,Ryan McLaren,South Africa,"February 09, 1983, Kimberley, Cape Province",39y 5m 16d 0H 0M 0S,Left hand Bat,Right arm Medium fast,Allrounder
2009/10,R Sathish,626c5379,33870,R Sathish,Rajagopal Sathish,India,"January 14, 1981, Trichy (now Tiruchchirappali), Tamil Nadu",41y 6m 11d 0H 0M 0S,Right hand Bat,Right arm Medium,Allrounder
2009/10,R Sharma,102bc1f4,627385,Ricky Sharma,Ricky Sharma,Nigeria,1-Dec-78,43y 7m 24d 0H 0M 0S,Right hand Bat,NA,NA
2009/10,R Sharma,5d9a1a73,272994,R Sharma,Rahul Sharma,India,"November 30, 1986, Jalandhar",35y 7m 25d 0H 0M 0S,Right hand Bat,Legbreak Googly,Bowler
2009/10,R Vinay Kumar,41eb4a4f,35731,R Vinay Kumar,Ranganath Vinay Kumar,India,"February 12, 1984, Davanagere, Karnataka",38y 5m 13d 0H 0M 0S,Right hand Bat,Right arm Medium,Bowler
2009/10,RE van der Merwe,05c2ca46,47850,RE van der Merwe,Roelof Erasmus van der Merwe,Netherlands,"December 31, 1984, Johannesburg, Transvaal",37y 6m 25d 0H 0M 0S,Right hand Bat,Slow Left arm Orthodox,Allrounder
2009/10,RG Sharma,740742ef,34102,RG Sharma,Rohit Gurunath Sharma,India,"April 30, 1987, Bansod, Nagpur, Maharashtra",35y 2m 25d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Top order Batter
2009/10,RJ Harris,12eddf28,5779,RJ Harris,Ryan James Harris,Australia,"October 11, 1979, Sydney, New South Wales",42y 9m 14d 0H 0M 0S,Right hand Bat,Right arm Fast,Bowler
2009/10,RP Singh,c3d1402f,35280,RP Singh,Rudra Pratap Singh,India,"December 06, 1985, Rae Bareli, Uttar Pradesh",36y 7m 19d 0H 0M 0S,Right hand Bat,Left arm Fast medium,Bowler
2009/10,RR Powar,5d096f3d,32391,RR Powar,Ramesh Rajaram Powar,India,"May 20, 1978, Bombay (now Mumbai), Maharashtra",44y 2m 5d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Bowler
2009/10,RS Bopara,7ca5e05d,10582,RS Bopara,Ravinder Singh Bopara,England,"May 04, 1985, Forest Gate, London",37y 2m 21d 0H 0M 0S,Right hand Bat,Right arm Medium,Batting Allrounder
2009/10,RS Gavaskar,9ff100a6,28792,RS Gavaskar,Rohan Sunil Gavaskar,India,"February 20, 1976, Kanpur, Uttar Pradesh",46y 5m 5d 0H 0M 0S,Left hand Bat,Slow Left arm Orthodox,NA
2009/10,RS Sodhi,a3ecf01f,34078,RS Sodhi,Reetinder Singh Sodhi,India,"October 18, 1980, Patiala, Punjab",41y 9m 7d 0H 0M 0S,Right hand Bat,Right arm Medium,NA
2009/10,RV Uthappa,1c17e270,35582,RV Uthappa,Robin Venu Uthappa,India,"November 11, 1985, Coorg, Karnataka",36y 8m 14d 0H 0M 0S,Right hand Bat,Right arm Medium,Batter
2009/10,S Badrinath,3576e47e,26806,S Badrinath,Subramaniam Badrinath,India,"August 30, 1980, Madras (now Chennai), Tamil Nadu",41y 10m 25d 0H 0M 0S,Right hand Bat,Right arm Offbreak,Middle order Batter
2009/10,S Dhawan,0a476045,28235,S Dhawan,Shikhar Dhawan,India,"December 05, 1985, Delhi",36y 7m 20d 0H 0M 0S,Left hand Bat,Right arm Offbreak,Opening Batter
